hot_streak,wr,rank,freshBlood,inactive,veteran,championPoints,lastPlayTime,outcome
-0.2,-0.08421067730341925,-0.8000000000000007,-0.2,0.0,0.0,-124693.59999999998,-3573.669707302004,1
0.2,0.08421067730341925,0.8000000000000007,0.2,-0.0,-0.0,124693.59999999998,3573.669707302004,0
0.0,0.05617708764439622,-1.0,0.0,0.0,0.2,5302.599999999991,7365.654997214675,1
-0.0,-0.05617708764439622,1.0,-0.0,-0.0,-0.2,-5302.599999999991,-7365.654997214675,0
0.0,0.009105596501276625,-3.0,0.2,0.0,0.0,34827.40000000001,-11927.532500166446,1
-0.0,-0.009105596501276625,3.0,-0.2,-0.0,-0.0,-34827.40000000001,11927.532500166446,0
-0.2,-0.15619286152953915,-3.8000000000000007,-0.2,0.0,0.4,-399711.4,5171.261485829949,1
0.2,0.15619286152953915,3.8000000000000007,0.2,-0.0,-0.4,399711.4,-5171.261485829949,0
0.2,0.030277512823893238,-1.1999999999999993,0.0,0.0,-0.2,-120838.59999999998,24403.12259568274,1
-0.2,-0.030277512823893238,1.1999999999999993,-0.0,-0.0,0.2,120838.59999999998,-24403.12259568274,0
-0.2,0.003976189347902337,0.6000000000000014,0.0,0.0,0.0,109773.4,3259.2175031341612,1
0.2,-0.003976189347902337,-0.6000000000000014,-0.0,-0.0,-0.0,-109773.4,-3259.2175031341612,0
0.2,0.031146213353012264,-1.0,-0.4,0.0,0.0,155511.4,-5180.97925651446,1
-0.2,-0.031146213353012264,1.0,0.4,-0.0,-0.0,-155511.4,5180.97925651446,0
0.0,-0.08009538638219926,1.6000000000000014,0.2,0.0,0.0,151223.4,-3730.417601082474,1
-0.0,0.08009538638219926,-1.6000000000000014,-0.2,-0.0,-0.0,-151223.4,3730.417601082474,0
0.4,0.007958146786355091,0.20000000000000107,-0.2,0.0,0.0,-253097.8,22422.414263397455,1
-0.4,-0.007958146786355091,-0.20000000000000107,0.2,-0.0,-0.0,253097.8,-22422.414263397455,0
0.0,0.021704878243772097,-1.7999999999999972,-0.4,0.0,-0.2,-202169.6,6323.91888602078,1
-0.0,-0.021704878243772097,1.7999999999999972,0.4,-0.0,0.2,202169.6,-6323.91888602078,0
0.2,-0.014749904051855611,3.0,0.0,0.0,-0.2,-76444.39999999997,-17477.57248463109,1
-0.2,0.014749904051855611,-3.0,-0.0,-0.0,0.2,76444.39999999997,17477.57248463109,0
0.0,0.025453592848953543,-1.8000000000000007,0.0,0.0,0.0,9995.799999999988,-19105.71768181026,1
-0.0,-0.025453592848953543,1.8000000000000007,-0.0,-0.0,-0.0,-9995.799999999988,19105.71768181026,0
-0.2,-0.005150634325570391,-3.1999999999999993,0.0,0.0,0.0,-47142.600000000006,-16811.398236125708,1
0.2,0.005150634325570391,3.1999999999999993,-0.0,-0.0,-0.0,47142.600000000006,16811.398236125708,0
0.0,-0.00759703822025648,-1.0,0.0,0.0,0.0,-95758.79999999999,6206.543892275542,1
-0.0,0.00759703822025648,1.0,-0.0,-0.0,-0.0,95758.79999999999,-6206.543892275542,0
-0.4,0.004511704818016771,-4.399999999999999,0.2,0.0,0.0,15718.599999999991,1678.1017603129148,1
0.4,-0.004511704818016771,4.399999999999999,-0.2,-0.0,-0.0,-15718.599999999991,-1678.1017603129148,0
-0.2,-0.03326433765632175,-3.6000000000000014,0.0,0.0,0.0,-491730.2,24250.95824432373,1
0.2,0.03326433765632175,3.6000000000000014,-0.0,-0.0,-0.0,491730.2,-24250.95824432373,0
0.2,-0.02626861412274195,-2.8000000000000007,0.2,0.0,0.0,18594.6,21907.418888255954,1
-0.2,0.02626861412274195,2.8000000000000007,-0.2,-0.0,-0.0,-18594.6,-21907.418888255954,0
0.0,-0.022449310366436603,2.1999999999999993,0.0,0.0,0.0,-22104.800000000003,5119.72128803283,1
-0.0,0.022449310366436603,-2.1999999999999993,-0.0,-0.0,-0.0,22104.800000000003,-5119.72128803283,0
-0.4,-0.035506704793437094,-2.1999999999999993,0.0,0.0,0.0,49032.4,7989.650367643684,1
0.4,0.035506704793437094,2.1999999999999993,-0.0,-0.0,-0.0,-49032.4,-7989.650367643684,0
0.2,-0.01840861320023024,0.0,0.0,0.0,0.0,-422768.80000000005,32319.432774808258,1
-0.2,0.01840861320023024,-0.0,-0.0,-0.0,-0.0,422768.80000000005,-32319.432774808258,0
-0.2,-0.03795304643206465,0.8000000000000007,0.0,0.0,0.0,-145839.2,67694.34122816846,1
0.2,0.03795304643206465,-0.8000000000000007,-0.0,-0.0,-0.0,145839.2,-67694.34122816846,0
-0.2,-0.03401902068104756,-2.599999999999998,0.2,0.0,0.0,290523.2,-49693.72694034502,1
0.2,0.03401902068104756,2.599999999999998,-0.2,-0.0,-0.0,-290523.2,49693.72694034502,0
0.0,0.025530252987550184,2.8000000000000007,0.2,0.0,0.0,-112603.0,-47756.92370354012,1
-0.0,-0.025530252987550184,-2.8000000000000007,-0.2,-0.0,-0.0,112603.0,47756.92370354012,0
